date,rank,track_name,artist_names,peak_rank,previous_rank,days_on_chart,streams,track_id,artist_id
2023-09-13,1,Seven (feat. Latto),"Jung Kook, Latto",1,1,62,"82,005",7x9aauaA9cu6tyfpHnqDLo,6HaGTQPmzraVmaVxvz6EUc
2023-09-13,2,我会等,承桓,1,2,162,"57,622",5Rzpn60KTM11EBETHaF9Kt,3ZYhFl4nztqc9vx35vKdUI
2023-09-13,3,想和你看五月的晚霞,陳華,3,3,312,"50,022",6pFxVcn6T4BdP8mfZpTQHZ,5ZxRmJ21NzjxD2ZGBxi7um
2023-09-13,4,Super Shy,NewJeans,1,4,69,"46,120",5sdQOyqq2IDhvmx2lHOpwd,6HvZYsbFfjnjFrWF950C9d
2023-09-13,5,Slow Dancing,V,5,5,6,"45,653",5h1BN75CEh8wdSwE1xrbSe,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,6,字字句句,卢卢快闭嘴,6,6,108,"43,518",7fAdinC2UTc0Y9GiKrkTtu,4wUR1NviIGE01yEfeLNkeV
2023-09-13,7,Queencard,(G)I-DLE,1,7,122,"43,216",4uOBL4DDWWVx4RhYKlPbPC,2AfmfGFbe0A0WsTYm0SDTx
2023-09-13,8,SPECIALZ,King Gnu,7,9,13,"38,096",0GWNtMohuYUEHVZ40tcnHF,6wxfx1yhyqjCPYwwxJktR2
2023-09-13,9,Love Me Again,V,6,8,34,"37,501",2N0SPREDYqILVEFSsWF5N5,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,10,毒藥,Xiao Bing Chih,7,10,510,"36,922",5VymCvfV0FguCa7zrIPSgk,0Ej4GfzIcW3dWP0rC5d4x1
2023-09-13,11,我就想你,Bestards,8,13,378,"33,655",0Eh0C7rpC5E0sPy4OcLdsq,0Awqm7GXGiBp8fJNGvywra
2023-09-13,12,烏梅子醬,Ronghao Li,1,12,209,"33,077",4p9jbhD6N7HpuECGusu6iT,0rTP0x4vRFSDbhtqcCqc8K
2023-09-13,13,不是因為天氣晴朗才愛你,Bestards,4,11,1167,"32,315",2VEt42QSQxILgEf9B50xxm,0Awqm7GXGiBp8fJNGvywra
2023-09-13,14,OMG,NewJeans,1,14,255,"30,750",65FftemJ1DbbZ45DUfHJXE,6HvZYsbFfjnjFrWF950C9d
2023-09-13,15,訣愛 (劇集《蒼蘭訣》片頭曲),詹雯婷,2,16,388,"30,628",6la3Kme7O7D01fJPxgpAS5,7hmSHY9HVVQKejpGbPbo16
2023-09-13,16,Paint The Town Red,Doja Cat,16,19,36,"30,609",2IGMVunIBsBLtEQyoI1Mu7,5cj0lLjcoR7YOSnhnX0Po5
2023-09-13,17,"如果可以 - 電影""月老""主題曲",WeiBird,1,15,678,"29,588",72OVnXDzugvrCU25lMi9au,7y3HnWCFEvWj4KM9GFSkiX
2023-09-13,18,アイドル,YOASOBI,2,20,155,"28,626",7ovUcF5uHTBRzUpB6ZOmvt,64tJ2EAv1R6UaZqc4iOCyj
2023-09-13,19,Love U Like That,Lauv,16,17,39,"28,317",3rmqiQbzPDx7A8p88IRFKg,5JZ7CnR6gTvEMKX4g70Amv
2023-09-13,20,Cruel Summer,Taylor Swift,10,21,88,"28,162",1BxfuPKGuaTgP7aM0Bbdwr,06HL4z0CvFAxyc27GXpf02
2023-09-13,21,眼淚記得你 - 電影《想見你》主題曲,Shi Shi,2,23,265,"28,123",0USeB0Tykai3QZj5YAUclG,4XKp9GFAQfsh2NflSRnHQi
2023-09-13,22,青のすみか,Tatsuya Kitani,10,22,69,"28,027",12usPU2WnqgCHAW1EK2dfd,7mvhRvEAHiCTQHUnH7fgnv
2023-09-13,23,I AM,IVE,2,18,157,"28,026",70t7Q6AYG6ZgTYmJWcnkUM,6RHTUrRF63xao58xh9FXYJ
2023-09-13,24,"最後一堂課 - 《媽,別鬧了!》影集片尾曲",Eric Chou,2,24,419,"27,784",2OR5FUKy3GQ7I9DCbRnfsW,5fEQLwq1BWWQNR8GzhOIvi
2023-09-13,25,是你.,政学Zed-X,20,29,132,"26,696",3fiXwwPL7cUvD7BqkHdN0J,7DAjUaK40De066EOFR6fxB
2023-09-13,26,Rainy Days,V,13,25,34,"26,585",5ydjxBSUIDn26MFzU3asP4,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,27,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,11,26,62,"26,387",6wf7Yu7cxBSPrRlWeSeK0Q,6qqNVTkY8uBg9cP3Jd7DAH
2023-09-13,28,Fast Forward,JEON SOMI,10,28,38,"26,355",7jzOZuWgZ5gaMet9V5Ix1d,7zYj9S9SdIunYCfSm7vzAR
2023-09-13,29,FLOWER,JISOO,1,31,167,"26,162",69CrOS7vEHIrhC2ILyEi0s,6UZ0ba50XreR4TM8u322gs
2023-09-13,30,从前说,小阿七,4,27,225,"26,110",3t5edAHbyFEW67wFApp7EO,7tDLiRbNQalA5uvTpX2bKh
2023-09-13,31,摯友,A-Lin,4,30,121,"25,273",1bQHKplf5fkkecalhAgYp0,28gf2piFx6cAKOMIwcky5a
2023-09-13,32,摯友,Eric Chou,4,35,120,"24,891",5evE7bweEhX83fd1ZmwPjP,5fEQLwq1BWWQNR8GzhOIvi
2023-09-13,33,Ditto,NewJeans,1,32,269,"24,715",3r8RuvgbX9s7ammBn07D3W,6HvZYsbFfjnjFrWF950C9d
2023-09-13,34,Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, Jung Kook, BTS",1,33,447,"24,683",5Odq8ohlgIbQKMZivbWkEo,6VuMaDnrHyPL1p4EHjYLi7
2023-09-13,35,Without You,高爾宣 OSN,1,34,1623,"24,195",0KWnRv3wxjltYVB3MqjNd2,4TcOznbEZBqev21LzAH4KE
2023-09-13,36,"想見你想見你想見你(電視劇""想見你""片尾曲)",831,1,36,1396,"23,970",69zgyr5HVKdInjeKpq1qHa,3TtgOeQcNkf9WVDA4xPBJM
2023-09-13,37,最好的時光,安溥,1,38,75,"23,681",0eFRk9wgFPxg6iXhDjvGAo,7m3hJRouj4fFil1ksJDx0I
2023-09-13,38,Letting Go,Tanya Chua,14,37,454,"23,596",6FSOibqLCbhFrmGdqMbwiZ,376pcuw4IgWBMOUwCr8kIm
2023-09-13,39,你是我這輩子最想愛的呀,五堅情WOLF(S) (邱鋒澤、陳零九、黃偉晉、賴晏駒、婁峻碩),35,44,11,"23,390",4NF4arILnIdBOZu2FkRV8P,7H6h9MXX9ms8IV2QGLrQSp
2023-09-13,40,就让这大雨全都落下,Joey Yung,23,41,133,"22,960",0J3GWS0Bv6I1reM1J69UBM,2zzKlxMsKTPMsZacZCPRNA
2023-09-13,41,小城夏天,LBI利比,16,40,418,"22,890",4QZMBVrBLAvBryj8ZJIIY2,1xMn0bhYRWHDV01mU8gP1J
2023-09-13,42,Somebody Else,高爾宣 OSN,23,42,412,"22,620",6gOZzuHIApHtAPTelkOMUc,4TcOznbEZBqev21LzAH4KE
2023-09-13,43,ETA,NewJeans,6,39,55,"22,613",56v8WEnGzLByGsDAXDiv4d,6HvZYsbFfjnjFrWF950C9d
2023-09-13,44,有些,颜人中,16,49,805,"21,906",3V2v19gDm4rmRkMwcgS4X2,5PNcqs6EtD6gSXgUiiJIUU
2023-09-13,45,Hype Boy,NewJeans,5,47,409,"21,865",0a4MMyCrzT0En247IhqZbD,6HvZYsbFfjnjFrWF950C9d
2023-09-13,46,披星戴月的想你,告五人,15,46,1702,"21,711",7tgzj2IqzSgUpxUhjmcF5m,6xErgeZYatiaQ36SB5bvi8
2023-09-13,47,Slow Dancing (Piano Ver.),V,38,45,6,"21,659",7pgbDdy7ax962o9d2xJceV,3JsHnjpbhX4SnySpvpa9DK
2023-09-13,48,慢冷,Fish Leong,11,48,1582,"21,515",3NNDJfWMGHuNpvHWTImmlW,3aIDSTKS9yH745GUQBxDcS
