Artist_id,Artist_album_id,Artist_album_name,Album_tracks,Album_release_date
5y8tKLUfMvliMe8IKamR32,0e5qoGUqcAHyLUepuJHYvN,There Goes My Baby,1,2024-07-12
5y8tKLUfMvliMe8IKamR32,0GHlPN101r1WcuQCwINbI2,Feel It (From The Original Series “Invincible”),1,2024-03-28
5y8tKLUfMvliMe8IKamR32,2vx0QJQQAIkQFJJpdlD3u1,My House Is Not A Home,1,2024-03-08
5y8tKLUfMvliMe8IKamR32,1EX0HxNyID0uOOiKeYF9wG,Withering,2,2024-02-09
5y8tKLUfMvliMe8IKamR32,7Ey02eVrCyDXacTJyvaH16,Romantic Homicide (Live Version),1,2023-12-08
5y8tKLUfMvliMe8IKamR32,7ISArb5GeVeJ6O65wUyIux,Call Me Revenge (Call of Duty: Modern Warfare 3),1,2023-10-19
5y8tKLUfMvliMe8IKamR32,4YbgMvlvGC8FjzkSOLGgWC,The Lost Petals,5,2023-09-08
5y8tKLUfMvliMe8IKamR32,5pbNr4xCNBBRwPh7DPVSht,Notes From A Wrist,1,2023-08-18
5y8tKLUfMvliMe8IKamR32,27Dh0ZuhW6QrVAdtw4MV0I,Superbloodmoon (feat. d4vd),1,2023-07-28
5y8tKLUfMvliMe8IKamR32,3rrrTOHiXGzuW4FP7t0O1A,Petals to Thorns,9,2023-05-26
5y8tKLUfMvliMe8IKamR32,3dFr6Li35Nik82qwIMrSYa,Placebo Effect,1,2023-02-08
5y8tKLUfMvliMe8IKamR32,6aWBBjT1YWOaPuMFxPiRQm,Romantic Homicide,2,2022-07-20
5y8tKLUfMvliMe8IKamR32,6eOMYDYcATu0l7GFj1Rzmp,DTN,1,2022-07-14
5y8tKLUfMvliMe8IKamR32,0ijUXYHCr9KFUQ3n8y4U3r,Right Now,1,2022-06-28
5y8tKLUfMvliMe8IKamR32,7hZsZV5pBEyz5FRnITmgIb,Wasting Your Time,1,2022-06-19
5y8tKLUfMvliMe8IKamR32,6RpF1GmHR7zKbFD32iWZKT,NEVER AGAIN,1,2022-06-06
5y8tKLUfMvliMe8IKamR32,3b6D1pceOSy3dURlUDLHBK,Separate,1,2022-05-23
5y8tKLUfMvliMe8IKamR32,2oNAhxyb4HQn0nbBvMgaw3,Fly Away,1,2022-05-23
5y8tKLUfMvliMe8IKamR32,1vQuWIq3gU8DhEmvVLlg37,Take Me To The Sun,1,2022-05-09
5y8tKLUfMvliMe8IKamR32,7J2iocHysqZJTCTUtrdTfa,Dirty Secrets,1,2022-04-27
5y8tKLUfMvliMe8IKamR32,5vX1LJ6K9CHttC40rTNA2x,More Than Just Friends,1,2022-04-24
5y8tKLUfMvliMe8IKamR32,3UIXmiCZrKGSGeUgv3dZGo,Decide,1,2022-03-28
5y8tKLUfMvliMe8IKamR32,2xcigLLkwwdutp7clmntwY,It’s That Time Again,1,2022-03-18
5y8tKLUfMvliMe8IKamR32,3npPu5wtW0dtMCIC8ClBXf,Bleed Out,1,2022-02-22
5y8tKLUfMvliMe8IKamR32,1v04oZQiMeFArT396egFSK,life’s a dream,1,2022-02-05
5y8tKLUfMvliMe8IKamR32,0kNAEcPTAlMJzIGqeuEKNs,Run Away,1,2021-12-21
5y8tKLUfMvliMe8IKamR32,63IolVUykZCHMlu2zu9jHS,THE FIRST TIME,20,2023-11-10
5y8tKLUfMvliMe8IKamR32,30H0cGghxhBJ93v4h28XEt,THE FIRST TIME (DELUXE VERSION),28,2024-08-09
5y8tKLUfMvliMe8IKamR32,0o9lEiGZLsVcfTwl6z77oB,Paint My Bedroom Black,13,2023-10-13
5y8tKLUfMvliMe8IKamR32,6rOGLesFODtt6eRTNEP4AH,Winter 2023,37,2023-01-08
5y8tKLUfMvliMe8IKamR32,1rmqaos4sc4N5cSqe1ytiZ,BLEED,5,2023-11-03
5y8tKLUfMvliMe8IKamR32,7IdlnQOyDV3nQTxInMW62x,Cinnamon Girl,32,2023-07-25
5y8tKLUfMvliMe8IKamR32,6YivAiCiKmLWo9BUAdJEw9,cry and scream,25,2023-10-03
5y8tKLUfMvliMe8IKamR32,7qdTniAmmEgtBY1RzTxzJF,Top Canciones LATAM,30,2023-09-01
5y8tKLUfMvliMe8IKamR32,6qvTO7WT10SrPp8A8FIGWR,cry in silence,27,2023-10-02
5y8tKLUfMvliMe8IKamR32,5wTumQYyrbIcIscaUpmKQC,Autumn Friday Party,30,2023-08-25
5y8tKLUfMvliMe8IKamR32,6qhnuM0kPmq8GpsA4lzTti,Ethereal Love,42,2023-07-03
5y8tKLUfMvliMe8IKamR32,6xVXZpMenSJt9H8bgZTS8y,The Pop Playlist,30,2023-11-24
