Artist_name,Artist_id,Artist_genres,Artist_followers,Artist_popularity
d4vd,5y8tKLUfMvliMe8IKamR32,['bedroom pop'],2833705,78
Agust D,5RmQ8k4l3HZ8JoPb4mNsML,['k-rap'],14802457,76
JHAYCO,6nVcHLIgY5pE2YCl8ubca1,"['reggaeton', 'trap latino', 'urbano latino']",7935606,82
呂士軒,61gu0mOGuVNpTt5yT8GISP,[],426,8
Mahalia,16rCzZOMQX7P8Kmn5YKexI,"['alternative r&b', 'indie anthem-folk', 'uk contemporary r&b']",983769,60
阿蘭 AC,4rmyrkHJMMD1i00eFs5jem,[],3312,22
Calvin Harris,7CajNmpbOovFoOoasH2HaY,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",22772832,87
房東的貓,6oxtUCWftDouZzeso3oXcF,['chinese minyao'],48946,39
Glass Animals,4yvcSjfu4PC0CYQyLy4wSq,"['gauze pop', 'indietronica', 'modern rock', 'pov: indie', 'shiver pop']",4240689,78
PinkPantheress,78rUTD7y6Cy67W1RVzYs7t,['bedroom pop'],3559681,76
Masked Wolf,1uU7g3DNSbsu0QjSEqZtEd,['australian hip hop'],743597,63
CHO JUNG SEOK,0MU0Hxwaz1daT4FVqx3Smz,['korean ost'],30952,43
Belly,0FOWNUFHPnMy0vOw1siGqi,"['canadian hip hop', 'canadian trap']",248709,55
Good Band,4xlAHgZnzzPHtoKnev0gwJ,['mandopop'],92695,40
TREASURE,3KonOYiLsU53m4yT7gNotP,['k-pop boy group'],3423129,66
XIN LIU,6fs2or0cKLEM2xohWq8SoX,['chinese electropop'],179192,53
JISOO,6UZ0ba50XreR4TM8u322gs,['k-pop'],3982028,64
elijah woods,3IR6DvP0x2a6oUSist9UMu,['singer-songwriter pop'],367625,64
Kehlani,0cGUm45nv7Z6M6qdXYQGTX,"['pop', 'r&b', 'rap']",7838169,75
Hozier,2FXC3k01G6Gw61bmprjgqS,"['irish singer-songwriter', 'modern rock', 'pop', 'pov: indie']",7653022,86
The Jackson 5,2iE18Oxc8YSumAU232n4rW,"['motown', 'soul']",1588551,66
KIMMUSEUM,1NVRvV0KqaO7VtSaVQcm3V,[],25021,43
CJ,7arQA31aZVS8yS6zUveWzb,['nyc rap'],241623,61
Mixer,6CMcc2djwtp3cIrpEHBxJ9,[],1628,24
ONE OK ROCK,7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock']",5366991,71
Future,1RyvyyTE3xzB2ZywiAwp0i,"['atl hip hop', 'hip hop', 'rap', 'southern hip hop', 'trap']",18131125,91
Sigala,1IueXOQyABrMOprrzwQJWN,"['dance pop', 'edm', 'pop dance', 'uk dance']",1563613,68
不是花火呀,5CxdR3VSEWjiAa5DabdLVd,['chinese viral pop'],75886,45
Tyla,3SozjO3Lat463tQICI9LcE,[],1777671,77
Niall Horan,1Hsdzj7Dlq2I7tHP7501T4,['pop'],9916757,74
Yaowen Liu,5FVgvRVA9Eh8OQxbV5TQSc,['taiwan idol pop'],39794,29
Joey Yung,2zzKlxMsKTPMsZacZCPRNA,['cantopop'],480835,56
Taylor Swift,06HL4z0CvFAxyc27GXpf02,['pop'],118971229,100
张远,3PutidTQajzWO1gTetJReW,['chinese viral pop'],37140,50
Ronghao Li,0rTP0x4vRFSDbhtqcCqc8K,"['chinese singer-songwriter', 'mainland chinese pop', 'mandopop']",832590,60
Zhang Zhen Yue,6PNEi9i2MxUgRufqYr76Xt,"['classic mandopop', 'mandopop', 'taiwan pop', 'taiwan singer-songwriter']",205814,49
Miley Cyrus,5YGY8feqx7naU7z4HrwZM6,['pop'],24566166,83
Burl Ives,0MHgLfmQdutffmvWe5XBTN,"['adult standards', 'american folk revival']",100669,44
許光漢,3hhUgkTf3fFYGogFMbV5Wv,[],41306,44
Lilas Ikuta,1qM11R4ylJyQiPJ0DffE9z,"['j-pop', 'japanese teen pop']",678196,60
Peder Elias,56zJ6PZ3mNPBiBqglW2KxL,['norwegian pop'],95700,56
Mitchell Ayres & His Orchestra,0HS96tPggl2nwiz3gNWWI5,"[""man's orchestra""]",1049,45
ICE杨长青,1CYOMrOfyYgZjJ9n6KIpQO,['sichuanese hip hop'],13848,41
Tom Grennan,5SHxzwjek1Pipl1Yk11UHv,['uk pop'],562314,65
Artemas,0PCCGZ0wGLizHt2KZ7hhA2,[],870867,80
JUNHA PARK,7oppHhvVWHX7WeGYjEOL6y,[],21503,38
Dermot Kennedy,5KNNVgR6LBIABRIomyCwKJ,"['folk-pop', 'irish pop', 'uk pop']",1556188,70
黃小琥,6KCusBln9NTESgcuI0DlUz,"['classic mandopop', 'mandopop']",64174,43
周星星,2pu04SDXMrNFw0DMgsrFMp,['chinese viral pop'],4540,31
Tipsy,2gZ9Qtzq8vrqLkR5EUSJy5,[],26833,42
Vance Joy,10exVja0key0uqUkk6LJRT,"['folk-pop', 'modern rock']",3137458,76
thehopend,32lrEgDlSQ0p6KLJckSvXd,"['chinese melodic rap', 'taiwan hip hop']",12482,39
OH MY GIRL,2019zR22qK2RBvCqtudBaI,"['k-pop', 'k-pop girl group']",1802625,53
Seungmin,2nTtulf6WM0raQcIbzYJuf,[],251729,52
Victor Wong,70ht8hGTKjvbPJ37xVO9cW,"['malaysian mandopop', 'mandopop']",79615,40
井胧,7vUl41Mg2BGkAWQcK6ptJ2,['chinese viral pop'],23040,42
